username	avr_words_pr_tweet	favourites_count	followers	friends_count	listed_count	recorded_tweets	retweet_count	statuses_count	advertiser
Ntombi Khanyile	21	810	537	780	6	1	1	3774	0
Kevin Canetti	22	3641	98	82	14	1	1	2499	0
Mehtap celik	16	1382	69	106	0	1	0	88	0
Utek Appliances	14	874	972	187	0	2	0	878	1
J.O.E SpeedWagon	7	3187	242	553	4	1	1	10110	0
Urvashi Saraswat	12	18	41	89	0	1	0	100	0
BiliousBubble35	23	9127	366	5000	1	1	1	13562	0
_gavin	22	22895	67	94	2	1	1	4380	0
Ava Armstrong	24	170695	73048	71615	457	1	1	473645	0
Riley Daniels	19	142	268	178	1	2	1	686	1
Cailyn O’Connor ✨🌼	25	906	24	155	0	1	1	1632	0
Barbara Warman	7	5055	1589	2038	180	1	1	58277	0
Vegashwt	16	24351	652	546	3	1	1	3010	0
jayeshthakur	11	1133	724	663	40	1	1	29420	1
Footprintapp	15	121	30	81	1	1	0	116	0
twenty one ufo pilots	28	1407	17745	18792	41	2	1	16252	0
Stuyfisticated	9	2	0	0	0	1	0	6	0
Teepee Bros	20	1069	55	82	1	1	0	124	0
talkRADIO	19	2191	37487	40	308	2	0	32175	0
Glamour Tea James	13	17903	4688	508	38	1	0	14026	1
Debbie Hall	20	29785	235	320	0	1	1	22966	0
A Face Mainly YOUR Mother, Could Love!	23	39032	468	631	4	3	3	15693	0
Lekjew689😊	21	2055	3	61	0	1	1	579	0
Blake Parker	16	70388	354	442	9	1	1	22000	0
Cyprus Today	13	159471	11520	11231	458	1	1	33787	0
BankservAfrica	20	140	369	48	7	1	0	288	0
TheLawMorris	16	18	9	48	0	1	0	113	1
DogsOfSample	20	58253	1099	582	76	2	2	40636	0
Epic Gaming	25	698	669	647	15	1	0	4416	1
Roy vd Schilden	21	2708	935	449	47	1	1	2421	0
Ginger	23	64696	1846	1784	66	1	1	63792	0
Gwyn Davies	17	2060	213	282	1	1	1	15648	0
Avery ✌🏾	6	19935	674	710	2	1	0	8485	0
miss myah✨	15	61796	1372	3180	19	2	2	51486	0
Thobani  	20	6992	302	333	4	1	0	10158	1
ThatGuy🇺🇸	23	4769	313	418	4	1	0	5136	0
Gary Wood	9	9161	430	314	2	1	1	9370	0
Insp Matt Wilkinson	10	2911	554	513	2	1	0	767	0
Cyn #ReleaseUnredactedFISAwarrantsNow💥💥 🇺🇸	24	17045	5769	5838	0	1	1	14947	0
Visit Camberwell	21	2422	2089	1732	45	1	0	12483	0
Coin Joker	17	121	294	615	53	1	0	1938	0
tim-noah01	10	114255	677	5002	4	1	1	23594	0
François Péladeau	4	30023	593	581	17	1	0	20744	0
JOJO Part 5 OP is OUT	25	27621	261	1425	13	1	1	34088	0
Dexter	1	1	6	243	0	1	0	538	0
Isabellancali	8	54314	2412	2040	8	1	0	35708	0
Jeanette Davenport	20	11170	883	4975	121	2	2	25762	0
ʚɞ Назрин ʚɞ	24	14889	9047	2376	13	2	2	117098	1
Seethal	19	2	0	29	0	1	0	9	1
🇨🇲🇿🇦ZERO LA VIE ✊🏿✊🏿	26	7601	613	2487	13	1	1	2096	0
🎅 Debra V 🎅	15	127392	3684	3170	23	1	1	124505	0
SocialGamingHub Retweets	19	133	24442	3455	41	10	10	536417	1
Revolver	19	362	22	27	0	1	1	212	0
Chala Atelier Yoga	17	537	1040	232	25	1	0	3550	0
Isabella Franck	17	0	0	63	0	1	1	33	1
Hendrix Tavarez	18	843	175	469	28	1	1	719	0
Philomina Eapen	10	4003	116	244	2	1	1	1003	0
Emiliano Correa	21	10161	2418	2605	51	1	1	6995	0
Kylie Schoenhaar	20	318	56	567	1	1	1	282	0
Printoolz	12	0	2779	554	105	1	0	5386	0
Twsted TV	18	3025	169	740	11	1	1	5836	1
TO SoundEngineer	22	5972	783	1712	13	1	1	2392	0
Stuart Burrows	25	2562	121	81	5	1	1	3679	0
Machine Gun Tours	17	6	269	368	3	1	0	2060	0
Murat Yapıcı	6	55	29	46	0	1	0	60	0
kath dawkins	13	126	50	25	0	1	1	70	0
Николай Вуль	24	68	0	245	0	1	1	95	0
Shandi Merkel	17	0	0	0	0	1	1	4	1
Eli6_6	17	19404	72	54	0	1	1	3155	1
My name is Josh	10	5947	946	882	6	1	1	554	0
The JDF	20	577	2836	2845	901	6	6	18372	0
Ю	13	77	37	68	0	1	0	216	0
Collette mackey	22	12685	593	4996	102	1	1	21760	0
Lyric Buff	18	462	221	706	1	1	0	2314	0
CobasTest	7	15450	37	11	0	1	1	15608	0
The Eva	20	2179	431	619	0	1	1	328	0
h	19	21870	633	291	0	2	2	1611	0
pia-zazakel	16	6448	1086	1003	67	1	1	29380	0
joanna 🍂	20	21273	302	593	23	1	1	57480	0
Amber Nicole Rall	12	2798	111	542	0	1	1	3332	0
Sven Zeeman	7	180	154	170	0	1	0	308	0
SPEED🏁MOB🏁RACING	16	9850	604	507	48	2	2	18710	0
Christal's Creations	11	11063	135	506	46	1	0	1096	1
หยุหญิงเหน่ย⚰️	21	4859	258	418	14	1	1	110327	1
SterlingParadise	17	5	1	0	0	1	0	6	0
つむぎ	17	163888	885	913	19	2	2	83564	0
crutchley	9	2775	296	970	1	1	1	1073	0
Moringa Young	12	3132	611	1128	2	2	2	1104	1
Lisa "Mamakind" Kirkman	19	5376	4131	5002	128	1	1	17872	0
HE8RA	9	97	546	585	31	1	1	79637	0
DnA Anime	16	6499	981	900	0	1	0	552	0
Beachtown Views 📷	14	686	179	404	6	2	1	724	1
Barbara Lewey	10	159	12	138	1	4	4	53	0
COLE world	8	2452	292	386	1	1	1	1571	0
Chris A #RemainerNow	22	5784	4071	4994	21	1	1	3622	1
LOUIE	14	5	1	6	0	1	0	14	1
Lyne Grenier	23	3215	64	44	6	1	1	1695	0
A'mate Care	13	1	10	52	0	1	0	45	1
Max E. Guttman, LCSW	24	142	188	835	4	1	1	272	0
Domhnall Gillard	7	2507	86	346	0	1	1	1379	0
Gamimbo	13	277	872	112	1	3	0	808	0
Ania Cuevas ™	10	6703	310	689	22	1	1	26293	0
Eye Candy Sensation	10	1519	15143	5461	435	2	0	102216	0
Let Leeds	23	97	887	394	34	1	0	1487	1
David C. Tucker	10	408	796	782	24	1	0	1101	0
XP-PEN_UK	16	82	789	134	2	1	0	223	0
